home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,League_21518,League_24558,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,B365_Win,B365_Draw,B365_Lose,BW_Win,BW_Draw,BW_Lose,label
-5,-8,2,1,0,0,1,0,77.0,69.0,74.0,73.0,74.0,74.0,76.0,77.0,76.0,74.0,74.0,70.0,77.0,70.0,75.0,75.0,80.0,78.0,72.0,71.0,73.0,73.0,0.3956834532374101,0.2877697841726619,0.31654676258992803,0.3897043622079801,0.28778168286127764,0.3225139549307422,Draw
4,-2,4,1,0,0,1,0,76.0,79.0,73.0,80.0,77.0,77.0,79.0,81.0,78.0,77.0,79.0,71.0,72.0,73.0,70.0,75.0,72.0,71.0,74.0,76.0,71.0,72.0,0.6245817532902074,0.23890252063350434,0.13651572607628817,0.6127132076364411,0.25336519126587964,0.13392160109767925,Draw
18,7,6,6,0,0,1,0,81.0,81.0,82.0,87.0,83.0,87.0,87.0,87.0,87.0,86.0,93.0,83.0,84.0,85.0,83.0,84.0,84.0,86.0,88.0,78.0,90.0,88.0,0.39069767441860465,0.2604651162790697,0.34883720930232553,0.38049560351718625,0.2797761790567546,0.33972821742605913,Lose
1,1,2,3,0,0,1,0,79.0,65.0,76.0,80.0,71.0,79.0,77.0,76.0,77.0,79.0,77.0,75.0,77.0,79.0,77.0,81.0,79.0,82.0,79.0,81.0,81.0,79.0,0.3608748481166464,0.28760631834750905,0.3515188335358444,0.3548387096774194,0.2903225806451613,0.3548387096774194,Win
1,1,3,1,0,0,1,0,74.0,73.0,82.0,81.0,80.0,82.0,80.0,80.0,81.0,80.0,75.0,75.0,73.0,72.0,71.0,69.0,69.0,71.0,69.0,67.0,76.0,76.0,0.6515264333581534,0.22338049143708116,0.12509307520476545,0.6348547717842324,0.22406639004149378,0.14107883817427386,Draw
3,6,3,4,0,0,1,0,76.0,74.0,75.0,77.0,75.0,75.0,72.0,76.0,74.0,78.0,74.0,76.0,78.0,73.0,77.0,76.0,79.0,77.0,77.0,80.0,78.0,82.0,0.288135593220339,0.2796610169491525,0.43220338983050843,0.3014616321559074,0.28319123020706455,0.41534713763702796,Win
-3,-12,2,1,0,0,1,0,76.0,76.0,74.0,76.0,72.0,73.0,71.0,66.0,77.0,76.0,72.0,75.0,72.0,75.0,75.0,75.0,72.0,74.0,75.0,77.0,76.0,73.0,0.4317656129529684,0.2968388589051658,0.27139552814186585,0.4247787610619469,0.2920353982300885,0.2831858407079646,Lose
-4,8,3,5,0,0,1,0,77.0,73.0,72.0,76.0,71.0,76.0,75.0,79.0,75.0,74.0,79.0,81.0,79.0,85.0,81.0,82.0,83.0,80.0,81.0,78.0,79.0,83.0,0.17419230874804426,0.2521204468721693,0.5736872443797865,0.1809859255351006,0.2500463444892837,0.5689677299756157,Lose
-9,-2,3,2,0,0,1,0,70.0,76.0,75.0,76.0,71.0,76.0,77.0,74.0,75.0,73.0,78.0,79.0,75.0,76.0,78.0,76.0,75.0,66.0,73.0,78.0,72.0,75.0,0.39616613418530355,0.2971246006389776,0.30670926517571884,0.3884711779448622,0.3007518796992481,0.3107769423558897,Win
-7,2,0,3,0,0,1,0,77.0,76.0,74.0,74.0,73.0,75.0,76.0,73.0,70.0,74.0,62.0,79.0,80.0,77.0,83.0,79.0,80.0,80.0,75.0,81.0,78.0,82.0,0.25496688741721857,0.2897350993377484,0.4552980132450331,0.2671232876712329,0.28767123287671237,0.4452054794520548,Win
